seq,slot,bytes,npts,e2e_us,fft_us,peak_hz,expect_hz,ok,gitsha
434,2,16640,4096,12.608,7.488,20019.5,20000.0,1,2eb80be
435,3,16640,4096,12.640,7.808,24902.3,25000.0,1,2eb80be
436,0,16640,4096,12.592,7.680,30029.3,30000.0,1,2eb80be
437,1,16640,4096,13.504,8.640,34912.1,35000.0,1,2eb80be
438,2,16640,4096,12.592,7.520,40039.1,40000.0,1,2eb80be
439,3,16640,4096,12.640,7.616,44921.9,45000.0,1,2eb80be
440,0,16640,4096,12.976,7.776,50048.8,50000.0,1,2eb80be
441,1,16640,4096,13.440,8.128,54931.6,55000.0,1,2eb80be
442,2,16640,4096,12.608,7.744,60058.6,60000.0,1,2eb80be
443,3,16640,4096,12.224,7.104,64941.4,65000.0,1,2eb80be
444,0,16640,4096,12.032,6.848,70068.4,70000.0,1,2eb80be
445,1,16640,4096,12.208,7.328,74951.2,75000.0,1,2eb80be
446,2,16640,4096,12.512,7.552,80078.1,80000.0,1,2eb80be
447,3,16640,4096,12.592,7.328,84960.9,85000.0,1,2eb80be
448,0,16640,4096,12.432,7.136,10009.8,10000.0,1,2eb80be
449,1,16640,4096,12.528,7.264,14892.6,15000.0,1,2eb80be
450,2,16640,4096,12.544,7.040,20019.5,20000.0,1,2eb80be
451,3,16640,4096,13.696,8.512,24902.3,25000.0,1,2eb80be
452,0,16640,4096,13.696,8.352,30029.3,30000.0,1,2eb80be
453,1,16640,4096,14.064,8.736,34912.1,35000.0,1,2eb80be
454,2,16640,4096,12.512,7.520,40039.1,40000.0,1,2eb80be
455,3,16640,4096,12.576,7.168,44921.9,45000.0,1,2eb80be
456,0,16640,4096,12.336,6.784,50048.8,50000.0,1,2eb80be
457,1,16640,4096,13.648,8.864,54931.6,55000.0,1,2eb80be
458,2,16640,4096,12.944,7.584,60058.6,60000.0,1,2eb80be
459,3,16640,4096,13.472,8.160,64941.4,65000.0,1,2eb80be
460,0,16640,4096,14.528,9.152,70068.4,70000.0,1,2eb80be
461,1,16640,4096,13.056,8.128,74951.2,75000.0,1,2eb80be
462,2,16640,4096,12.624,7.296,80078.1,80000.0,1,2eb80be
463,3,16640,4096,13.872,8.864,84960.9,85000.0,1,2eb80be
464,0,16640,4096,14.016,8.832,10009.8,10000.0,1,2eb80be
465,1,16640,4096,12.656,7.648,14892.6,15000.0,1,2eb80be
466,2,16640,4096,12.368,7.264,20019.5,20000.0,1,2eb80be
467,3,16640,4096,14.048,8.672,24902.3,25000.0,1,2eb80be
468,0,16640,4096,12.544,7.648,30029.3,30000.0,1,2eb80be
469,1,16640,4096,13.952,8.800,34912.1,35000.0,1,2eb80be
470,2,16640,4096,13.360,8.160,40039.1,40000.0,1,2eb80be
471,3,16640,4096,14.112,9.088,44921.9,45000.0,1,2eb80be
472,0,16640,4096,13.536,8.416,50048.8,50000.0,1,2eb80be
473,1,16640,4096,12.641,7.296,54931.6,55000.0,1,2eb80be
474,2,16640,4096,12.864,7.424,60058.6,60000.0,1,2eb80be
475,3,16640,4096,14.304,9.280,64941.4,65000.0,1,2eb80be
476,0,16640,4096,13.216,8.320,70068.4,70000.0,1,2eb80be
477,1,16640,4096,14.000,8.768,74951.2,75000.0,1,2eb80be
478,2,16640,4096,13.808,8.672,80078.1,80000.0,1,2eb80be
479,3,16640,4096,13.760,8.512,84960.9,85000.0,1,2eb80be
480,0,16640,4096,12.656,7.296,10009.8,10000.0,1,2eb80be
481,1,16640,4096,14.144,9.056,14892.6,15000.0,1,2eb80be
482,2,16640,4096,14.272,9.088,20019.5,20000.0,1,2eb80be
483,3,16640,4096,13.040,8.128,24902.3,25000.0,1,2eb80be
484,0,16640,4096,16.960,12.160,30029.3,30000.0,1,2eb80be
485,1,16640,4096,12.720,7.360,34912.1,35000.0,1,2eb80be
486,2,16640,4096,12.240,6.848,40039.1,40000.0,1,2eb80be
487,3,16640,4096,13.008,8.224,44921.9,45000.0,1,2eb80be
488,0,16640,4096,12.432,7.296,50048.8,50000.0,1,2eb80be
489,1,16640,4096,12.464,7.360,54931.6,55000.0,1,2eb80be
490,2,16640,4096,13.904,8.608,60058.6,60000.0,1,2eb80be
491,3,16640,4096,12.832,7.296,64941.4,65000.0,1,2eb80be
492,0,16640,4096,13.600,8.352,70068.4,70000.0,1,2eb80be
493,1,16640,4096,12.049,6.944,74951.2,75000.0,1,2eb80be
494,2,16640,4096,12.976,8.032,80078.1,80000.0,1,2eb80be
495,3,16640,4096,14.368,9.344,84960.9,85000.0,1,2eb80be
496,0,16640,4096,13.952,8.480,10009.8,10000.0,1,2eb80be
497,1,16640,4096,13.808,8.384,14892.6,15000.0,1,2eb80be
498,2,16640,4096,14.112,8.736,20019.5,20000.0,1,2eb80be
499,3,16640,4096,12.496,7.456,24902.3,25000.0,1,2eb80be
