e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers
26.24,12,7.104,3.12195e+08,38109.8,1248.78,1.02386,0,8192,0
25.28,9.408,7.232,3.24051e+08,39557,1296.2,1.02386,0,8192,0
23.248,8.928,7.264,3.52374e+08,43014.5,1409.5,1.02386,0,8192,0
26.352,11.968,7.264,3.10868e+08,37947.8,1243.47,1.02386,0,8192,0
23.024,8.864,7.008,3.55803e+08,43432.9,1423.21,1.02386,0,8192,0
25.345,10.816,7.456,3.2322e+08,39455.5,1292.88,1.02386,0,8192,0
24.208,10.144,7.072,3.38401e+08,41308.7,1353.6,1.02386,0,8192,0
23.088,8.992,7.2,3.54816e+08,43312.5,1419.27,1.02386,0,8192,0
23.952,9.792,7.008,3.42017e+08,41750.2,1368.07,1.02386,0,8192,0
24.08,9.984,7.008,3.40199e+08,41528.2,1360.8,1.02386,0,8192,0
24.336,10.24,6.944,3.36621e+08,41091.4,1346.48,1.02386,0,8192,0
24.128,9.568,7.424,3.39523e+08,41445.6,1358.09,1.02386,0,8192,0
25.952,9.088,6.88,3.1566e+08,38532.7,1262.64,1.02386,0,8192,0
23.424,8.736,7.68,3.49727e+08,42691.3,1398.91,1.02386,0,8192,0
23.12,8.736,7.168,3.54325e+08,43252.6,1417.3,1.02386,0,8192,0
25.28,10.848,7.52,3.24051e+08,39557,1296.2,1.02386,0,8192,0
25.28,11.328,6.848,3.24051e+08,39557,1296.2,1.02386,0,8192,0
24.256,9.12,6.784,3.37731e+08,41226.9,1350.92,1.02386,0,8192,0
24.96,10.208,7.552,3.28205e+08,40064.1,1312.82,1.02386,0,8192,0
24.112,9.984,7.008,3.39748e+08,41473.1,1358.99,1.02386,0,8192,0
24.272,10.464,6.848,3.37508e+08,41199.7,1350.03,1.02386,0,8192,0
25.184,11.2,7.008,3.25286e+08,39707.8,1301.14,1.02386,0,8192,0
23.056,8.768,7.296,3.55309e+08,43372.7,1421.24,1.02386,0,8192,0
23.136,9.024,7.04,3.5408e+08,43222.7,1416.32,1.02386,0,8192,0
23.712,9.952,6.688,3.45479e+08,42172.7,1381.92,1.02386,0,8192,0
