arm,size,kb,rep,write_p50,fft_p50,total_p50,fft_p90,us_per_mb,n,note,gitsha
hostalloc,1048576,4096,3,64.720,48.576,113.296,49.952,28.324,200,-,6070ae1
ha_def,1048576,4096,3,63.936,49.376,113.312,52.608,28.328,200,cudaHostAlloc Default,6070ae1
ha_wc,1048576,4096,3,63.840,48.992,112.832,52.544,28.208,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,1048576,4096,3,62.144,50.848,112.992,54.592,28.248,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,1048576,4096,3,97.952,63.872,161.824,65.504,40.456,200,-,6070ae1
shmreg_def,1048576,4096,3,100.143,65.952,166.095,67.712,41.524,200,cudaHostRegister Default,6070ae1
shmreg_port,1048576,4096,3,97.808,65.088,162.896,67.008,40.724,200,cudaHostRegister Portable,6070ae1
shmreg_big,1048576,4096,3,101.248,65.088,166.336,66.912,41.584,200,registration span rounded up to 4 MB,6070ae1
hostalloc,1048576,4096,4,65.024,48.608,113.632,49.920,28.408,200,-,6070ae1
ha_def,1048576,4096,4,63.680,50.464,114.144,54.240,28.536,200,cudaHostAlloc Default,6070ae1
ha_wc,1048576,4096,4,66.224,48.256,114.480,49.152,28.620,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,1048576,4096,4,62.144,51.552,113.696,55.616,28.424,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,1048576,4096,4,98.032,63.840,161.872,65.088,40.468,200,-,6070ae1
shmreg_def,1048576,4096,4,102.000,65.568,167.568,67.072,41.892,200,cudaHostRegister Default,6070ae1
shmreg_port,1048576,4096,4,97.359,65.184,162.543,71.232,40.636,200,cudaHostRegister Portable,6070ae1
shmreg_big,1048576,4096,4,100.992,65.088,166.080,66.848,41.520,200,registration span rounded up to 4 MB,6070ae1
hostalloc,1048576,4096,5,64.688,48.864,113.552,51.616,28.388,200,-,6070ae1
ha_def,1048576,4096,5,64.160,49.760,113.920,53.024,28.480,200,cudaHostAlloc Default,6070ae1
ha_wc,1048576,4096,5,65.568,48.704,114.272,51.840,28.568,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,1048576,4096,5,62.368,51.232,113.600,55.232,28.400,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,1048576,4096,5,98.544,63.808,162.352,65.312,40.588,200,-,6070ae1
shmreg_def,1048576,4096,5,99.984,65.536,165.520,67.584,41.380,200,cudaHostRegister Default,6070ae1
shmreg_port,1048576,4096,5,97.728,64.832,162.560,66.400,40.640,200,cudaHostRegister Portable,6070ae1
shmreg_big,1048576,4096,5,101.183,65.248,166.431,67.008,41.608,200,registration span rounded up to 4 MB,6070ae1
